"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000025833.6|ENSMUSG00000024899.7|OTTMUSG00000073985.1|OTTMUST00000179519.1|Papss2-201|Papss2|3635|protein_coding|",7699.70281701784,0.84943650999869,0.0811645379353354,10.4656113569629,1.24271715101865e-25,3.89542118158306e-21
"ENSMUST00000034585.6|ENSMUSG00000032080.6|OTTMUSG00000028705.1|OTTMUST00000071089.1|Apoa4-201|Apoa4|1815|protein_coding|",13284.7925674981,-1.35186026426029,0.131918598955467,-10.247685125254,1.21211660718871e-24,1.89975035844687e-20
"ENSMUST00000044602.7|ENSMUSG00000057074.6|OTTMUSG00000040118.1|OTTMUST00000060226.1|Ces1g-201|Ces1g|2388|protein_coding|",6660.14065402743,1.02182016826798,0.105975666304478,9.64202636228017,5.31286840892715e-22,5.55123910487435e-18
"ENSMUST00000119033.7|ENSMUSG00000036779.12|OTTMUSG00000031334.1|OTTMUST00000077628.1|Tent4b-203|Tent4b|4624|protein_coding|",479.257018949481,10.3571547180562,1.09695436439533,9.44173709884953,3.66649746777953e-21,2.29860059250034e-17
"ENSMUST00000166783.2|ENSMUSG00000032735.15|OTTMUSG00000073606.1|OTTMUST00000178675.1|Ablim3-202|Ablim3|4187|protein_coding|",361.780565424696,-1.76996891761845,0.187159591563256,-9.45700352749619,3.16894083422476e-21,2.29860059250034e-17
"ENSMUST00000001715.9|ENSMUSG00000001665.11|OTTMUSG00000031847.4|OTTMUST00000078969.1|Gstt3-201|Gstt3|1880|protein_coding|",2199.22936519967,1.68239030558588,0.180651265041414,9.31291737813287,1.24368399594009e-20,6.497419756123e-17
"ENSMUST00000113093.4|ENSMUSG00000029417.9|OTTMUSG00000055603.1|OTTMUST00000137614.1|Cxcl9-201|Cxcl9|2889|protein_coding|",773.80318865204,-1.88269104943235,0.211796969892192,-8.88913118252196,6.15885811445863e-19,2.6434562186065e-15
"ENSMUST00000066912.12|ENSMUSG00000054072.12|OTTMUSG00000073536.1|OTTMUST00000178477.1|Iigp1-202|Iigp1|2927|protein_coding|",3747.01821590547,-0.744076735902824,0.0838018797547073,-8.87899815709119,6.74652260219869e-19,2.6434562186065e-15
"ENSMUST00000071646.1|ENSMUSG00000069456.4|OTTMUSG00000027661.3|OTTMUST00000068442.3|Rdh16-201|Rdh16|3207|protein_coding|",3616.30023786648,1.34898382378662,0.157436389277034,8.56843725889111,1.04898817720846e-17,3.65350926697515e-14
"ENSMUST00000073337.7|ENSMUSG00000038002.9|OTTMUSG00000072572.2|OTTMUST00000175631.1|Cramp1l-201|Cramp1l|7519|protein_coding|",133.611128123044,-10.6372819323138,1.25990149407847,-8.4429473116025,3.09434602261348e-17,9.6995370424842e-14
