"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000026043.18",1517.16765006151,-1.27126056605546,0.301324940743717,1.04583446900779e-06,0.000210377073687125
"ENSMUSG00000064294.12",10975.1227636582,-0.985660868217688,0.388578048048089,0.000366679853749214,0.0202479177280105
"ENSMUSG00000089943.1",2337.44142577563,1.42037435126696,0.286150461877876,3.3822731999001e-08,1.16160460799496e-05
"ENSMUSG00000089960.1",1636.54037498819,0.766506157343278,0.207951823929675,1.13448850385229e-05,0.00141260969227277
"ENSMUSG00000026295.12",1558.95303369503,0.580939237797654,0.2019116005967,0.000212310588050942,0.0135888426833878
"ENSMUSG00000026307.12",2416.8416779393,0.411527513033212,0.15896423265824,0.000702814805967497,0.0307421865959533
"ENSMUSG00000034220.7",244.640509852652,-2.58621158648646,0.431241981334229,8.64368826318321e-11,7.60698590211768e-08
"ENSMUSG00000026348.7",928.221349917473,-1.06728514924357,0.311261796354744,2.45018796013125e-05,0.00257470870646329
"ENSMUSG00000042251.12",3469.30271596706,0.447698404551801,0.157264225727565,0.000305659196330376,0.0174958826972684
"ENSMUSG00000094410.8",352.932588174222,0.656553382816784,0.23912340248972,0.000279790663623629,0.0166233431834782
"ENSMUSG00000042429.8",467.452724290541,-0.898017707159702,0.218620349424455,1.88308821058516e-06,0.000331447063665621
"ENSMUSG00000041782.14",151.991047412131,-2.36149348866853,0.496556195945479,8.03782952425845e-08,2.40809952193794e-05
"ENSMUSG00000026471.14",191.635593657641,1.34885209164564,0.368023715814806,1.02116469129055e-05,0.00128384107304127
"ENSMUSG00000040181.14",6393.03836937277,0.474064707650338,0.18284530258414,0.000580911132187389,0.0268583839757846
"ENSMUSG00000026574.5",165.346528830478,-1.24781680182524,0.43109505872217,0.000134065151772775,0.00984145217126965
"ENSMUSG00000026688.5",592.961670049572,0.829422800910601,0.321158734415875,0.000377632613989538,0.0206272185587262
"ENSMUSG00000038370.6",296.157575559499,1.90105458868813,0.481501050606645,3.28841414104921e-06,0.00049259744170334
"ENSMUSG00000005677.14",416.522724705068,1.12252567900684,0.326678278314265,2.42428252554965e-05,0.00256664077009508
"ENSMUSG00000038179.13",39.4054968620402,-1.55283794968283,0.578049361317592,0.000230354195754572,0.0143522895151333
"ENSMUSG00000044708.5",108.480056501116,-0.918408482604322,0.362359082726114,0.000402916536439946,0.0211696557821302
"ENSMUSG00000038949.8",426.395474335906,0.893199171538503,0.366290585229877,0.000523538408591201,0.0250746405829003
"ENSMUSG00000026622.15",35.1964625057428,-1.30105672753818,0.566677799314819,0.000650398266142964,0.0289791899360842
"ENSMUSG00000016194.14",11100.8742194145,0.615496341426485,0.148819216133318,2.19080796345678e-06,0.000380848974486851
"ENSMUSG00000026676.7",76.0256996377078,-1.24174556337571,0.552328615137055,0.000705186156557981,0.0307421865959533
"ENSMUSG00000047617.11",436.288687180909,1.12739399002468,0.341084535595512,3.80180862328778e-05,0.00347618618341008
"ENSMUSG00000015090.13",61.9049969573029,3.76718539686549,0.592604112809789,8.33950864618623e-12,1.17428621246948e-08
"ENSMUSG00000026938.10",661.435079652068,0.689030685374894,0.220491940786103,8.66969970493194e-05,0.00702076830350156
"ENSMUSG00000036040.14",300.110482701851,-1.30341036162565,0.310852125417309,1.17243583277168e-06,0.000229292624461918
"ENSMUSG00000057110.15",407.74078965349,-0.684925868983198,0.232348079049114,0.000144699373706464,0.0104215049306951
"ENSMUSG00000006494.11",3194.86782864106,1.1252528729004,0.19676689781529,5.35350927523305e-10,3.27751148280681e-07
"ENSMUSG00000086231.1",25.8538022332069,1.87625869223546,0.802927775112588,0.000533524795835379,0.0252948237379056
"ENSMUSG00000040035.14",130.163166000828,0.944977360423036,0.424905148813817,0.00085487826255823,0.0360405413625222
"ENSMUSG00000058793.14",3731.79757901203,0.491232910200728,0.145392060507933,5.00509434592422e-05,0.00435041564721969
"ENSMUSG00000027358.6",741.683997750488,0.92870909969506,0.201317039836838,1.98739405314498e-07,5.48715601222244e-05
"ENSMUSG00000027261.2",3405.51224151247,-0.73501010382132,0.29106847364094,0.000458431952598573,0.0230542154447875
"ENSMUSG00000027596.10",28.4415770112463,-9.11484699255826,2.89364576301646,3.40562111368081e-10,2.30605834212968e-07
