"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001.4",1988.22218709965,0.0819856091339687,0.134731225996622,0.275466761146668,0.817366939676647
"ENSMUSG00000000028.15",37.3908016155402,-0.0155261240416228,0.142842172122567,0.642192843292383,0.954876116409858
"ENSMUSG00000000031.16",37.0079939753275,-0.0267386510028,0.147241674509461,0.288521661239159,0.827950389852893
"ENSMUSG00000000049.11",46342.0402734392,0.125903129461486,0.119379221430009,0.123972906418039,0.644740994292898
"ENSMUSG00000000056.7",1418.78696840813,-0.00800780287966808,0.133906922040721,0.908091040486805,0.992181502679577
"ENSMUSG00000000058.6",83.5215956863144,-0.000286906249368751,0.139226457809017,0.998608649491893,0.999356569090477
"ENSMUSG00000000078.7",356.766010935019,0.0571528656247212,0.144344102496906,0.342613375596987,0.857869256507151
"ENSMUSG00000000085.16",272.581791991196,-0.624645385806117,0.240173314481208,0.000465471289274894,0.024005252665833
"ENSMUSG00000000088.7",2848.10849116865,0.0256776537163176,0.121152296948052,0.712021541763677,0.966470587074
"ENSMUSG00000000093.6",140.554806018674,0.629539217986831,0.39165361645592,0.00361532853977883,0.0995095484600547
"ENSMUSG00000000120.6",193.080806689429,-0.00169011629618727,0.1415630098849,0.956681381717116,0.997730588309264
"ENSMUSG00000000126.11",14.4732909459887,0.00721052281898998,0.145168991822975,0.665371429642218,0.958317420174553
"ENSMUSG00000000127.15",201.039056113993,-0.0108695932550023,0.131281891525704,0.849266977855099,0.986054185455394
"ENSMUSG00000000131.15",1056.46410938319,0.0653152281598665,0.137227251648307,0.352512986729777,0.860208653363721
"ENSMUSG00000000134.17",765.195471204556,-0.165306642381656,0.159941406200496,0.0764755723541496,0.534746889848378
"ENSMUSG00000000142.15",287.665226321237,-0.160506281117468,0.265231588649156,0.0281471456118238,0.330700836293034
"ENSMUSG00000000148.17",303.038617540456,-0.0489901204403227,0.135780194334827,0.446268572263729,0.90250027259309
"ENSMUSG00000000149.10",2944.37870296096,-0.0998044792340597,0.150718001455153,0.194193115854938,0.746915303601508
"ENSMUSG00000000154.16",2428.12346237224,0.0449606336842608,0.112512688157331,0.547350608730112,0.932811396937984
"ENSMUSG00000000157.16",14.1443177997291,0.00630955962163246,0.14407027457416,0.792324137164371,0.982322365991091
"ENSMUSG00000000159.16",578.085948153292,-0.55647302487648,0.208830439678283,0.000442245327301398,0.023132106123402
"ENSMUSG00000000167.14",13.4511358402929,-0.0376589552999307,0.15270551951154,0.00808907503187986,0.162422438276735
"ENSMUSG00000000168.9",1666.55061415557,0.291891018462589,0.223758960942887,0.0175250473471699,0.255285575727159
"ENSMUSG00000000171.5",3541.94790545628,0.0858552834235745,0.124018214483817,0.324854709113052,0.847899100730181
"ENSMUSG00000000184.12",421.804018673393,0.487604749854404,0.30689901018281,0.00498272206958768,0.118504933622653
"ENSMUSG00000000194.13",517.066867667381,0.0015185513860047,0.12804693843178,0.982217324567595,0.997838196787517
"ENSMUSG00000000247.11",122.657140373979,0.0115231740147996,0.13873843023689,0.79752005597014,0.983387583575078
"ENSMUSG00000000253.13",31.4303739564875,-0.0300480823500715,0.147506958771442,0.289021452788225,0.828077448943728
"ENSMUSG00000000266.11",140.635565197972,0.0376384707106499,0.144347682375435,0.41610375533233,0.886528749854072
"ENSMUSG00000000275.16",2419.06905181692,0.153063705923601,0.223462322698292,0.0565114343950927,0.464804176127069
"ENSMUSG00000000276.11",43.7936628321618,-0.0126082190425499,0.144139827483792,0.632240170353336,0.954395656331997
"ENSMUSG00000000278.10",1556.32300960802,0.231630068170753,0.179649546734678,0.0299478697850492,0.339677983808027
"ENSMUSG00000000282.12",361.132165702363,-0.0414824900888391,0.146577407805402,0.346639124006072,0.859516702564235
"ENSMUSG00000000290.13",495.334332649905,-0.128982502568284,0.188210776079225,0.097132691348505,0.585365301939798
"ENSMUSG00000000295.13",17.8911953849129,-0.00354919722786571,0.143892539937887,0.878825904638295,0.989325410118626
"ENSMUSG00000000296.8",195.037781392954,0.117399376660988,0.18952252232143,0.0889402842548782,0.56249754646222
"ENSMUSG00000000301.16",7338.62205344111,0.132669663693586,0.141677636920101,0.133782774417363,0.659332691033005
"ENSMUSG00000000303.12",1402.17005234306,-0.910086589325329,0.22787000497206,3.13554994468003e-06,0.000512070145410079
"ENSMUSG00000000305.12",38.6830186020996,-0.0255082078553393,0.147912890121961,0.179268099465258,0.728817483991205
"ENSMUSG00000000317.11",102.179457347913,-0.0419297923361509,0.152360206551007,0.11586675295836,0.627721907475847
