"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000085.16",272.581791991196,-0.624645385806117,0.240173314481208,0.000465471289274894,0.024005252665833
"ENSMUSG00000000159.16",578.085948153292,-0.55647302487648,0.208830439678283,0.000442245327301398,0.023132106123402
"ENSMUSG00000000303.12",1402.17005234306,-0.910086589325329,0.22787000497206,3.13554994468003e-06,0.000512070145410079
"ENSMUSG00000000386.16",55.5271709094387,-2.7660685227715,0.79536664356986,1.50941073252053e-05,0.00181846876611367
"ENSMUSG00000000915.15",1033.94248263149,-1.28875038781309,0.248681190530461,1.02282000037996e-08,4.55557829260141e-06
"ENSMUSG00000001467.5",5556.96347491924,0.562236466151221,0.249859945295653,0.00112488974413276,0.0436463081466853
"ENSMUSG00000001506.10",584.592177585749,-1.89938534915116,0.370610044544241,1.27776097065189e-08,5.52368551371808e-06
"ENSMUSG00000001665.11",2301.27415354072,1.63081064952,0.199463188501907,1.48334223795524e-17,1.09010821067331e-13
"ENSMUSG00000001763.14",179.845994925699,-0.879000602312519,0.371034612587974,0.000641758801657638,0.0300400346075286
"ENSMUSG00000002033.14",48.9851903824579,-0.148053828985816,0.294133476351066,0.000348970151927193,0.0195025220267144
"ENSMUSG00000002588.13",16830.8481284598,0.484875787389498,0.167964990400401,0.000281852580536784,0.0169923782567694
"ENSMUSG00000002847.7",1269.05135724435,0.583219345014224,0.203500014821344,0.000241670553874628,0.0153769428608194
"ENSMUSG00000002870.8",151.284532985092,-2.16780529173475,0.442966921090047,4.04151943117785e-08,1.414339347606e-05
"ENSMUSG00000002992.17",5078.04078825373,-0.517498970592447,0.203351158932154,0.000660359890814445,0.0304262372263032
"ENSMUSG00000003355.7",174.85266562247,-0.976334178654231,0.418082233396115,0.000654874997378833,0.0303942616902186
"ENSMUSG00000003477.5",13116.5807947142,0.833819961811075,0.32123186463013,0.000385899349069462,0.0207763686176665
"ENSMUSG00000005373.13",5247.60649498877,0.910997994237265,0.165997571210195,2.26590492034943e-09,1.51383047814981e-06
"ENSMUSG00000005677.14",3085.07155753437,0.990223771304236,0.333821026720929,0.000122500242321064,0.00942674639599479
"ENSMUSG00000006205.13",109.44833804346,-1.12409174889923,0.567075317820173,0.00127539540354223,0.0476991390362943
"ENSMUSG00000006494.11",3493.74047336324,1.47130744314306,0.202175261893682,1.67849129469096e-14,4.11174417489463e-11
"ENSMUSG00000008140.18",2105.86969976791,0.400391787098193,0.159961033229109,0.00109627139419064,0.0431983832488313
"ENSMUSG00000008153.12",192.794032055301,-0.125369016295526,0.241812291667047,0.000295754775570555,0.0174578461499438
"ENSMUSG00000010601.14",3343.80143248521,0.546536750923529,0.170696813658694,9.22563654291386e-05,0.00766092688744339
"ENSMUSG00000011148.14",848.236991612133,0.923876997345317,0.266183229836312,2.39035126535291e-05,0.0026024728072709
"ENSMUSG00000012428.9",3871.02084532162,-0.488848847791647,0.203205376958016,0.00101867180284276,0.0411330718631398
"ENSMUSG00000015090.13",60.3448910669678,3.55611505148569,0.709369072613051,1.7848757249351e-08,7.28725094586003e-06
"ENSMUSG00000015944.9",165.253804161789,-1.31693390362065,0.686183356575458,0.00131069953667776,0.0487712956711132
"ENSMUSG00000016194.14",11480.3534036484,0.585312412675806,0.157895483292591,1.38788103764533e-05,0.00169992295760926
"ENSMUSG00000016756.17",3874.40407261633,-0.799445782027255,0.23512260446283,3.21114936758652e-05,0.00332376573273146
"ENSMUSG00000016763.15",32.9870794651473,-0.116493248772305,0.224207052244937,0.000808499862066018,0.0350540736656234
"ENSMUSG00000017146.12",73.998133002684,1.78006062931886,0.471174249815334,5.615800366136e-06,0.000825410337814669
"ENSMUSG00000017754.13",4002.13165244232,1.22610317043733,0.221559667234348,1.59298947722239e-09,1.11494092077213e-06
"ENSMUSG00000018339.11",255.657579077617,-0.835416876489332,0.327026361035801,0.000420529139815375,0.0221538971218867
"ENSMUSG00000019082.18",5550.32679384431,-0.540011962325713,0.229594871622377,0.00100912877111594,0.0409728582261386
"ENSMUSG00000019278.5",35.5523429429253,-0.11961742837435,0.228593005697691,0.00110725561125387,0.0434103952975124
"ENSMUSG00000019899.17",112.721656173909,-1.81971994355155,0.651292722291607,0.000155071467807229,0.0112833684843102
"ENSMUSG00000020010.7",1982.86586103728,0.530173415912867,0.230515458251502,0.00121901821032108,0.0458238610109956
"ENSMUSG00000020032.14",132.261403819959,-1.2259867526168,0.381347923459818,5.0127755781234e-05,0.00463382235517345
"ENSMUSG00000020101.14",449.244819137926,-0.816875711035238,0.277468721832091,0.000139759346914727,0.0103746610149124
"ENSMUSG00000020102.15",2278.11633707916,1.10674896751296,0.234115282109438,1.09811103612156e-07,3.4340502146627e-05
"ENSMUSG00000020122.16",8990.57587274345,-1.08707159436524,0.300841706516358,1.27841538435718e-05,0.00160345615338507
"ENSMUSG00000020427.11",876.04319769803,-0.765154985647079,0.318809535986808,0.000652054346839367,0.0303942616902186
"ENSMUSG00000020432.12",4290.12184609747,0.760511762162857,0.195156235399458,5.19884016281984e-06,0.000779719925644143
"ENSMUSG00000020492.11",58.4110448375395,-0.085025953627269,0.184090602119129,0.00120445315016037,0.0456264237140647
"ENSMUSG00000020532.18",6214.60090117245,0.784883283166343,0.224608326634128,2.37359279345953e-05,0.0026024728072709
"ENSMUSG00000020534.14",4989.69682996059,0.428110470169121,0.136908362789567,0.000158636033412864,0.0114295706818739
