"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection"
"Down-regulated",TRUE,0.000405816318472205,2557,127,33,0.259842519685039,0.0129057489245209,"GO:0002376","GO:BP","immune system process",24936,867,"GO:0008150","IEA,IMP,NAS IEA,IMP NAS IEA,IEA,IDA IEA,IGI,IDA IMP ISS IEA,IEA,IMP,IEA,IDA IMP IEA,IEA,NAS IEA,IDA IEA,IMP IEA,IEA,ISO NAS IEA,IDA ISS ISO IEA,IGI,IMP,IMP,IMP IEA,IMP,IMP ISS ISO NAS IEA,IEA,IEA,IDA,IEA,IMP,IDA NAS IEA,IEA,IEA","ENSMUSG00000002033,ENSMUSG00000020681,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023067,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000025270,ENSMUSG00000026043,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029771,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000042429,ENSMUSG00000046402,ENSMUSG00000048376,ENSMUSG00000049109,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000060586,ENSMUSG00000061132,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078817,ENSMUSG00000078922,ENSMUSG00000095612,ENSMUSG00000096459"
"Down-regulated",TRUE,0.000405816318472205,1633,127,25,0.196850393700787,0.0153092467850582,"GO:0006952","GO:BP","defense response",24936,2452,"GO:0006950","IEA,IEA,IMP IEA,ISS IEA,IMP,IEA,IEA,IMP,IDA IEA,IEA,IDA IMP IEA,TAS,IMP IEA,IEA,IEA,IMP IC IEA,IGI IEA,IMP ISS IEA,IMP,IDA,IMP,IDA,IEA,IMP IEA,IDA IEA","ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000024665,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029771,ENSMUSG00000030364,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000042429,ENSMUSG00000048376,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000062515,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078817,ENSMUSG00000078922"
"Down-regulated",TRUE,0.000405816318472205,3596,127,41,0.322834645669291,0.0114015572858732,"GO:0006950","GO:BP","response to stress",24936,2451,"GO:0050896","IEA,IEA,IEA,IEA,IDA,IEA,IEA,IMP IEA,ISS IEA,IDA IMP IGI ISS IEA,IMP,IEA,IEA,IEA,ISS IEA,IEA,IEA,IMP,IDA IEA,IEA,IEA,IDA IMP IEA,TAS,IEA,IMP IEA,IMP IEA,IEA,IEA,IMP IC IEA,IEA,IMP,IGI IEA,IMP ISS IEA,IMP IEA,IDA,IEA,IMP,IDA,IEA,IMP IEA,IDA IEA","ENSMUSG00000001506,ENSMUSG00000018339,ENSMUSG00000020122,ENSMUSG00000021594,ENSMUSG00000022032,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023067,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000024665,ENSMUSG00000025014,ENSMUSG00000025270,ENSMUSG00000026043,ENSMUSG00000027261,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029752,ENSMUSG00000029771,ENSMUSG00000030364,ENSMUSG00000031465,ENSMUSG00000031645,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000040412,ENSMUSG00000040681,ENSMUSG00000042429,ENSMUSG00000048376,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000054422,ENSMUSG00000062515,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078817,ENSMUSG00000078922"
"Down-regulated",TRUE,0.000405816318472205,1726,127,26,0.204724409448819,0.015063731170336,"GO:0006955","GO:BP","immune response",24936,2455,"GO:0002376;GO:0050896","IEA,NAS IEA,IMP NAS IEA,IEA,IEA,IMP IEA,IEA,IEA,IEA,IEA,NAS IEA,IDA IEA,IMP IEA,IEA,ISO NAS IEA,IEA,IMP IEA,IMP,IMP ISS ISO NAS IEA,IEA,IEA,IDA,IEA,IDA NAS IEA,IEA,IEA","ENSMUSG00000002033,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000026043,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029771,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000049109,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000060586,ENSMUSG00000061132,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078922,ENSMUSG00000095612,ENSMUSG00000096459"
"Down-regulated",TRUE,0.00131990843861524,43,127,5,0.0393700787401575,0.116279069767442,"GO:0002455","GO:BP","humoral immune response mediated by circulating immunoglobulin",24936,936,"GO:0006959;GO:0016064","IEA,IEA,IEA,IEA,IDA","ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000029656,ENSMUSG00000035031,ENSMUSG00000076612"
"Down-regulated",TRUE,0.00226757873472032,2346,127,29,0.228346456692913,0.0123614663256607,"GO:0009605","GO:BP","response to external stimulus",24936,3376,"GO:0050896","IEA,IEP IEA,IEA,IEA,IMP IEA,ISS IEA,IEP,IMP,IEA,IDA IMP IEP,IDA IEP ISS IEA,IEA,IDA IMP IEA,IEA,IMP IEA,IMP IEA,IEA,IEA,IDA ISS IC IEA,IGI IEA,IMP IEA,IMP,IDA,IMP IEP,IMP,IDA,IEA,IMP IEA,IDA IEP IEA","ENSMUSG00000000303,ENSMUSG00000001506,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023073,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029771,ENSMUSG00000031465,ENSMUSG00000031645,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000042429,ENSMUSG00000048376,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000062515,ENSMUSG00000069170,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078817,ENSMUSG00000078922"
"Down-regulated",TRUE,0.00249424287689676,9759,127,74,0.582677165354331,0.00758274413362025,"GO:0050896","GO:BP","response to stimulus",24936,12476,"GO:0008150","IEA,IEA,IDA IEP ISO IEA,ISS IEA,IEA,IDA IMP IGI ISS ISO IEA,IGI,IMP,IEA,IEA,IDA,NAS IEA,IMP NAS IEA,IEA,IMP IEA,ISS IEA,IDA IMP IGI ISS IEA,IEP,IDA IMP IEA,IEA,IEA,IEA,ISS IEA,IDA IMP IEA,IEA,IEA,IDA ISS IEA,IDA IMP IEP IEA,IDA IEP ISS IEA,NAS IEA,IEA,IDA IMP IEA,TAS,TAS IEA,IMP IEA,IMP IEP IEA,IEA,IDA IEA,ISO NAS IEA,IDA IMP ISS IC IEA,IMP IEA,IEP,IEA,IDA IMP,IDA IMP IEA,IMP,IEP IEA,IEA,IDA IGI IEA,IEA,IMP IEA,IDA,IMP,IMP,IDA IMP IGI ISS IEA,IMP IEA,IMP IEA,ISS IEA,IDA IMP ISS ISO NAS IEA,IEA,IEA,IEA,IDA IMP IEP,ISS,IMP IEA,IDA IMP IEA,IDA IEA,IDA,IEA,IDA IEA,IMP ISO IEA,IDA IEP NAS IEA,IEA,IEA","ENSMUSG00000000303,ENSMUSG00000000915,ENSMUSG00000001506,ENSMUSG00000002033,ENSMUSG00000018339,ENSMUSG00000020122,ENSMUSG00000020427,ENSMUSG00000020681,ENSMUSG00000021453,ENSMUSG00000021594,ENSMUSG00000022032,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022620,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023067,ENSMUSG00000023073,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000024665,ENSMUSG00000025014,ENSMUSG00000025270,ENSMUSG00000026043,ENSMUSG00000027261,ENSMUSG00000027596,ENSMUSG00000028982,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029752,ENSMUSG00000029771,ENSMUSG00000030364,ENSMUSG00000031465,ENSMUSG00000031645,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000034220,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000036040,ENSMUSG00000038092,ENSMUSG00000040412,ENSMUSG00000040681,ENSMUSG00000041293,ENSMUSG00000041567,ENSMUSG00000041698,ENSMUSG00000042379,ENSMUSG00000042429,ENSMUSG00000042436,ENSMUSG00000042638,ENSMUSG00000044469,ENSMUSG00000044708,ENSMUSG00000046402,ENSMUSG00000048376,ENSMUSG00000049109,ENSMUSG00000049723,ENSMUSG00000051225,ENSMUSG00000053977,ENSMUSG00000054422,ENSMUSG00000060586,ENSMUSG00000061132,ENSMUSG00000062515,ENSMUSG00000064294,ENSMUSG00000068747,ENSMUSG00000069170,ENSMUSG00000072849,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078672,ENSMUSG00000078817,ENSMUSG00000078922,ENSMUSG00000095612,ENSMUSG00000096459"
"Down-regulated",TRUE,0.00249424287689676,2034,127,26,0.204724409448819,0.0127826941986234,"GO:0048584","GO:BP","positive regulation of response to stimulus",24936,12006,"GO:0048518;GO:0048583;GO:0050896","IEA,IEA,ISS IEA,IGI,IEA,NAS IEA,IMP NAS IEA,IDA IMP IEA,IEA,IDA,IMP IEA,NAS IEA,IEA,ISO NAS IEA,IDA ISS IEA,IMP,IEA,IEA,IDA IMP IGI ISS IEA,IMP,IMP,IDA ISS ISO,IEA,IMP,IDA,IEA","ENSMUSG00000000915,ENSMUSG00000001506,ENSMUSG00000020122,ENSMUSG00000020427,ENSMUSG00000021453,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000023274,ENSMUSG00000024665,ENSMUSG00000026043,ENSMUSG00000029254,ENSMUSG00000029656,ENSMUSG00000032083,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000041567,ENSMUSG00000042379,ENSMUSG00000042429,ENSMUSG00000048376,ENSMUSG00000049109,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000061132,ENSMUSG00000062515,ENSMUSG00000069170,ENSMUSG00000078817"
"Down-regulated",TRUE,0.00249424287689676,1566,127,22,0.173228346456693,0.0140485312899106,"GO:0051707","GO:BP","response to other organism",24936,12978,"GO:0043207;GO:0044419","IEA,IEA,IEA,IMP IEA,ISS IEA,IEP,IMP,IEA,IDA IEP,IDA IEP,IEA,IDA IMP IEA,IMP IEA,IEA,IC IEA,IMP,IMP,IDA,IEP,IDA,IEA,IDA IEP IEA","ENSMUSG00000000303,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023073,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029771,ENSMUSG00000032080,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000048376,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000062515,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078922"
"Down-regulated",TRUE,0.00249424287689676,1570,127,22,0.173228346456693,0.0140127388535032,"GO:0043207","GO:BP","response to external biotic stimulus",24936,9908,"GO:0009605;GO:0009607","IEA,IEA,IEA,IMP IEA,ISS IEA,IEP,IMP,IEA,IDA IEP,IDA IEP,IEA,IDA IMP IEA,IMP IEA,IEA,IC IEA,IMP,IMP,IDA,IEP,IDA,IEA,IDA IEP IEA","ENSMUSG00000000303,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022965,ENSMUSG00000022971,ENSMUSG00000023073,ENSMUSG00000023274,ENSMUSG00000024411,ENSMUSG00000029254,ENSMUSG00000029417,ENSMUSG00000029656,ENSMUSG00000029771,ENSMUSG00000032080,ENSMUSG00000035031,ENSMUSG00000035042,ENSMUSG00000048376,ENSMUSG00000049723,ENSMUSG00000053977,ENSMUSG00000062515,ENSMUSG00000076612,ENSMUSG00000076617,ENSMUSG00000078922"
