target_id	length	eff_length	est_counts	tpm
ENSMUST00000193812.1|ENSMUSG00000102693.1|OTTMUSG00000049935.1|OTTMUST00000127109.1|4933401J01Rik-201|4933401J01Rik|1070|TEC|	1070	868.654	0	0
ENSMUST00000082908.1|ENSMUSG00000064842.1|-|-|Gm26206-201|Gm26206|110|snRNA|	110	34.5794	0	0
ENSMUST00000162897.1|ENSMUSG00000051951.5|OTTMUSG00000026353.2|OTTMUST00000086625.1|Xkr4-203|Xkr4|4153|processed_transcript|	4153	3951.65	0	0
ENSMUST00000159265.1|ENSMUSG00000051951.5|OTTMUSG00000026353.2|OTTMUST00000086624.1|Xkr4-202|Xkr4|2989|processed_transcript|	2989	2787.65	0	0
ENSMUST00000070533.4|ENSMUSG00000051951.5|OTTMUSG00000026353.2|OTTMUST00000065166.1|Xkr4-201|Xkr4|3634|protein_coding|	3634	3432.65	0	0
ENSMUST00000192857.1|ENSMUSG00000102851.1|OTTMUSG00000049958.1|OTTMUST00000127143.1|Gm18956-201|Gm18956|480|processed_pseudogene|	480	279.545	0	0
ENSMUST00000195335.1|ENSMUSG00000103377.1|OTTMUSG00000049960.1|OTTMUST00000127145.1|Gm37180-201|Gm37180|2819|TEC|	2819	2617.65	0	0
ENSMUST00000192336.1|ENSMUSG00000104017.1|OTTMUSG00000049961.1|OTTMUST00000127146.1|Gm37363-201|Gm37363|2233|TEC|	2233	2031.65	0	0
ENSMUST00000194099.1|ENSMUSG00000103025.1|OTTMUSG00000049930.1|OTTMUST00000127101.1|Gm37686-201|Gm37686|2309|TEC|	2309	2107.65	0	0
ENSMUST00000161581.1|ENSMUSG00000089699.1|OTTMUSG00000026352.1|OTTMUST00000065165.1|Gm1992-201|Gm1992|250|lncRNA|	250	68.5201	0	0
ENSMUST00000192973.1|ENSMUSG00000103201.1|OTTMUSG00000049929.1|OTTMUST00000127100.1|Gm37329-201|Gm37329|2057|TEC|	2057	1855.65	0	0
ENSMUST00000192183.1|ENSMUSG00000103147.1|OTTMUSG00000049921.1|OTTMUST00000127089.1|Gm7341-201|Gm7341|926|processed_pseudogene|	926	724.654	0	0
ENSMUST00000195166.1|ENSMUSG00000103161.1|OTTMUSG00000049927.1|OTTMUST00000127098.1|Gm38148-201|Gm38148|3012|TEC|	3012	2810.65	3.00167	0.0500111
ENSMUST00000192692.1|ENSMUSG00000102331.1|OTTMUSG00000049924.1|OTTMUST00000127092.1|Gm19938-201|Gm19938|3259|lncRNA|	3259	3057.65	0	0
ENSMUST00000193244.1|ENSMUSG00000102348.1|OTTMUSG00000049922.1|OTTMUST00000127090.1|Gm10568-201|Gm10568|1634|TEC|	1634	1432.65	0	0
ENSMUST00000194454.1|ENSMUSG00000102592.1|OTTMUSG00000049923.1|OTTMUST00000127091.1|Gm38385-201|Gm38385|2351|TEC|	2351	2149.65	1	0.0217842
ENSMUST00000157708.2|ENSMUSG00000088333.2|-|-|Gm27396-201|Gm27396|58|snRNA|	58	24.2	0	0
ENSMUST00000194643.1|ENSMUSG00000102343.1|OTTMUSG00000049934.1|OTTMUST00000127107.1|Gm37381-202|Gm37381|657|lncRNA|	657	455.713	0	0
ENSMUST00000192427.1|ENSMUSG00000102343.1|OTTMUSG00000049934.1|OTTMUST00000127108.1|Gm37381-201|Gm37381|899|lncRNA|	899	697.654	0	0
ENSMUST00000208660.1|ENSMUSG00000025900.12|OTTMUSG00000049985.3|OTTMUST00000145515.1|Rp1-203|Rp1|4170|protein_coding|	4170	3968.65	1	0.0117996
ENSMUST00000208793.1|ENSMUSG00000025900.12|OTTMUSG00000049985.3|OTTMUST00000127194.2|Rp1-204|Rp1|3047|retained_intron|	3047	2845.65	0	0
ENSMUST00000194992.6|ENSMUSG00000025900.12|OTTMUSG00000049985.3|-|Rp1-202|Rp1|858|protein_coding|	858	656.654	0	0
ENSMUST00000027032.5|ENSMUSG00000025900.12|OTTMUSG00000049985.3|OTTMUST00000127195.2|Rp1-201|Rp1|6869|protein_coding|	6869	6667.65	0	0
ENSMUST00000195384.1|ENSMUSG00000102948.1|OTTMUSG00000049933.1|OTTMUST00000127106.1|Gm6101-201|Gm6101|1867|processed_pseudogene|	1867	1665.65	0	0
ENSMUST00000194382.1|ENSMUSG00000104123.1|OTTMUSG00000049991.1|OTTMUST00000127207.1|Gm37483-201|Gm37483|1484|TEC|	1484	1282.65	0	0
ENSMUST00000027035.9|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127245.2|Sox17-201|Sox17|3127|protein_coding|	3127	2925.65	31.4259	0.503009
ENSMUST00000195555.1|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127249.1|Sox17-208|Sox17|1977|protein_coding|	1977	1775.65	0.926808	0.0244423
ENSMUST00000192650.5|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127247.2|Sox17-206|Sox17|3242|protein_coding|	3242	3040.65	0	0
ENSMUST00000116652.7|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127246.1|Sox17-202|Sox17|1512|protein_coding|	1512	1310.65	0	0
ENSMUST00000192505.1|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127268.1|Sox17-205|Sox17|1148|retained_intron|	1148	946.654	0	0
ENSMUST00000191647.1|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127267.2|Sox17-203|Sox17|406|protein_coding|	406	207.359	0	0
ENSMUST00000191939.1|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127266.2|Sox17-204|Sox17|840|protein_coding|	840	638.654	15.6473	1.14732
ENSMUST00000192913.1|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127248.2|Sox17-207|Sox17|1506|protein_coding|	1506	1304.65	0	0
ENSMUST00000193450.1|ENSMUSG00000104238.1|OTTMUSG00000050024.2|OTTMUST00000127270.1|Gm37587-201|Gm37587|2828|retained_intron|	2828	2626.65	0	0
